MatchDate,Team1,Team2,Venue,Toss_Winner,Toss_Decision,Match_Result
2019-04-10,Zimbabwe,United Arab Emirates,Harare Sports Club,Zimbabwe,field,Zimbabwe
2006-12-01,Canada,Netherlands,Willowmoore Park,Netherlands,field,Netherlands
2012-09-03,Australia,Pakistan,Sharjah Cricket Stadium,Australia,field,Australia
2023-03-02,United Arab Emirates,Nepal,Dubai International Cricket Stadium,Nepal,field,United Arab Emirates
2007-04-08,Australia,England,"Sir Vivian Richards Stadium, North Sound",England,bat,Australia
2011-03-24,India,Australia,"Sardar Patel Stadium, Motera",Australia,bat,India
2023-03-09,Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Papua New Guinea,field,Nepal
2006-12-07,Pakistan,West Indies,Iqbal Stadium,Pakistan,field,Pakistan
2017-12-23,New Zealand,West Indies,Hagley Oval,West Indies,field,New Zealand
2023-03-25,New Zealand,Sri Lanka,"Eden Park, Auckland",Sri Lanka,field,New Zealand
2006-11-22,South Africa,India,Kingsmead,South Africa,bat,South Africa
2019-06-14,England,West Indies,The Rose Bowl,England,field,England
2006-04-18,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
2022-07-24,West Indies,India,"Queen's Park Oval, Port of Spain, Trinidad",West Indies,bat,India
2016-11-17,Sri Lanka,England,R Premadasa Stadium,England,bat,England
2024-06-19,India,South Africa,"M Chinnaswamy Stadium, Bengaluru",South Africa,field,India
2023-11-12,India,Netherlands,"M Chinnaswamy Stadium, Bengaluru",India,bat,India
2019-06-21,England,Sri Lanka,Headingley,Sri Lanka,bat,Sri Lanka
2005-02-04,England,South Africa,St George's Park,England,bat,South Africa
2013-07-23,Sri Lanka,South Africa,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2006-10-08,West Indies,Zimbabwe,"Sardar Patel Stadium, Motera",Zimbabwe,bat,West Indies
2023-12-16,Bangladesh,South Africa,"Buffalo Park, East London",South Africa,field,Bangladesh
2023-11-04,Australia,England,"Narendra Modi Stadium, Ahmedabad",England,field,Australia
2019-03-13,South Africa,Sri Lanka,St George's Park,South Africa,field,South Africa
2007-01-23,England,New Zealand,Adelaide Oval,New Zealand,bat,New Zealand
2015-07-15,Sri Lanka,Pakistan,Pallekele International Cricket Stadium,Pakistan,bat,Sri Lanka
2006-04-28,Bangladesh,Australia,Narayanganj Osmani Stadium,Bangladesh,bat,Australia
2007-04-09,Ireland,New Zealand,Providence Stadium,New Zealand,bat,New Zealand
2011-10-23,India,England,Wankhede Stadium,England,bat,India
2024-03-07,Scotland,Canada,Dubai International Cricket Stadium,Canada,field,Canada
2018-01-09,Pakistan,New Zealand,Saxton Oval,Pakistan,bat,New Zealand
2022-07-22,India,West Indies,"Queen's Park Oval, Port of Spain, Trinidad",West Indies,field,India
2021-03-14,West Indies,Sri Lanka,Sir Vivian Richards Stadium,West Indies,field,West Indies
2019-07-01,Sri Lanka,West Indies,Riverside Ground,West Indies,field,Sri Lanka
2017-06-29,Australia,Sri Lanka,County Ground,Australia,field,Australia
2013-08-27,Canada,Netherlands,Maple Leaf North-West Ground,Canada,field,No Result
2024-12-10,Bangladesh,West Indies,"Warner Park, Basseterre, St Kitts",West Indies,field,West Indies
2011-02-24,South Africa,West Indies,Feroz Shah Kotla,South Africa,field,South Africa
2011-02-05,New Zealand,Pakistan,Eden Park,Pakistan,field,New Zealand
2022-03-05,Australia,England,"Seddon Park, Hamilton",England,field,Australia
2010-06-03,West Indies,South Africa,"Queen's Park Oval, Port of Spain",West Indies,bat,South Africa
2005-08-06,West Indies,Sri Lanka,"R.Premadasa Stadium, Khettarama",West Indies,bat,West Indies
2018-02-16,South Africa,India,SuperSport Park,India,field,India
2010-06-16,Bangladesh,India,Rangiri Dambulla International Stadium,Bangladesh,bat,India
2016-12-26,New Zealand,Bangladesh,Hagley Oval,New Zealand,bat,New Zealand
2017-05-21,Ireland,New Zealand,Malahide,Ireland,field,New Zealand
2011-10-13,Bangladesh,West Indies,Shere Bangla National Stadium,Bangladesh,field,West Indies
2007-03-19,West Indies,Zimbabwe,"Sabina Park, Kingston",West Indies,field,West Indies
2009-03-29,West Indies,England,"Kensington Oval, Bridgetown",England,field,England
2007-01-31,India,West Indies,Indian Petrochemicals Corporation Limited Sports Complex Ground,West Indies,field,India
2015-01-29,New Zealand,Sri Lanka,Westpac Stadium,Sri Lanka,bat,Sri Lanka
2015-02-26,Bangladesh,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,bat,Sri Lanka
2020-02-04,South Africa,England,Newlands,South Africa,field,South Africa
2016-01-31,New Zealand,Pakistan,Eden Park,Pakistan,bat,New Zealand
2024-10-26,Zimbabwe,United States of America,Harare Sports Club,United States of America,field,Zimbabwe
2018-01-16,Scotland,Ireland,ICC Academy,Ireland,field,Ireland
2023-04-04,Namibia,Canada,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia
2010-09-20,England,Pakistan,Lord's,Pakistan,bat,Pakistan
2018-01-26,England,Australia,Adelaide Oval,Australia,field,Australia
2017-07-05,Australia,Pakistan,Grace Road,Australia,bat,Australia
2014-01-30,Kenya,Scotland,Hagley Oval,Kenya,bat,Scotland
2011-06-11,West Indies,India,"Sir Vivian Richards Stadium, North Sound",India,field,India
2022-08-14,Scotland,United Arab Emirates,"Mannofield Park, Aberdeen",United Arab Emirates,field,Scotland
2015-03-13,New Zealand,Bangladesh,Seddon Park,New Zealand,field,New Zealand
2015-10-06,Pakistan,Bangladesh,Southend Club Cricket Stadium,Bangladesh,bat,Pakistan
2011-06-06,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,bat,India
2020-02-11,Oman,United States of America,Tribhuvan University International Cricket Ground,United States of America,field,Oman
2016-06-15,Zimbabwe,India,Harare Sports Club,Zimbabwe,bat,India
2017-04-11,West Indies,Pakistan,Providence Stadium,West Indies,bat,Pakistan
2011-02-22,England,Netherlands,"Vidarbha Cricket Association Stadium, Jamtha",Netherlands,bat,England
2006-11-01,Australia,New Zealand,"Punjab Cricket Association Stadium, Mohali",New Zealand,field,Australia
2012-06-16,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,bat,Sri Lanka
2005-01-30,South Africa,England,The Wanderers Stadium,England,field,England
2004-01-14,Zimbabwe,India,Bellerive Oval,Zimbabwe,bat,India
2007-03-15,Bermuda,Sri Lanka,"Queen's Park Oval, Port of Spain",Sri Lanka,bat,Sri Lanka
2006-12-05,Bangladesh,Zimbabwe,Shaheed Chandu Stadium,Zimbabwe,field,Bangladesh
2014-10-21,Sri Lanka,South Africa,Sinhalese Sports Club Ground,South Africa,field,South Africa
2013-07-19,Ireland,Pakistan,YMCA Cricket Club,Pakistan,bat,Pakistan
2022-08-20,Zimbabwe,India,Harare Sports Club,India,field,India
2017-04-09,West Indies,Pakistan,Providence Stadium,West Indies,field,Pakistan
2007-06-06,Africa XI,Asia XI,M Chinnaswamy Stadium,Asia XI,bat,Asia XI
2019-06-29,Australia,New Zealand,Lord's,Australia,bat,Australia
2008-06-24,Pakistan,Hong Kong,National Stadium,Pakistan,bat,Pakistan
2023-11-11,England,Pakistan,"Eden Gardens, Kolkata",England,bat,England
2008-04-10,West Indies,Sri Lanka,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies
2010-11-03,Australia,Sri Lanka,Melbourne Cricket Ground,Australia,bat,Sri Lanka
2013-10-28,South Africa,Sri Lanka,Senwes Park,South Africa,field,No Result
2010-06-03,Zimbabwe,India,Harare Sports Club,Zimbabwe,field,Zimbabwe
2013-02-10,Australia,West Indies,Melbourne Cricket Ground,West Indies,field,Australia
2024-07-16,Oman,Scotland,"Forthill, Dundee",Scotland,field,No Result
2016-02-07,South Africa,England,Willowmoore Park,South Africa,bat,England
2022-03-08,Namibia,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field,United Arab Emirates
2006-01-22,Australia,Sri Lanka,Sydney Cricket Ground,Sri Lanka,bat,Sri Lanka
2014-05-06,Sri Lanka,Ireland,"Clontarf Cricket Club Ground, Dublin",Ireland,field,Sri Lanka
2015-07-10,Bangladesh,South Africa,Shere Bangla National Stadium,Bangladesh,bat,South Africa
2024-10-31,Scotland,United States of America,"Grand Prairie Stadium, Dallas",United States of America,field,Scotland
2024-11-24,Zimbabwe,Pakistan,"Queens Sports Club, Bulawayo",Pakistan,field,Zimbabwe
2017-02-08,Sri Lanka,Ireland,Nondescripts Cricket Club Ground,Sri Lanka,bat,Sri Lanka
2018-07-18,Zimbabwe,Pakistan,Queens Sports Club,Zimbabwe,bat,Pakistan
2012-02-17,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Sri Lanka
2018-01-23,Scotland,United Arab Emirates,ICC Academy,Scotland,bat,United Arab Emirates
2011-02-03,New Zealand,Pakistan,Seddon Park,New Zealand,field,Pakistan
2011-10-14,India,England,"Rajiv Gandhi International Stadium, Uppal",India,bat,India
2015-07-19,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan
2013-06-16,England,New Zealand,Sophia Gardens,New Zealand,field,England
2023-11-16,South Africa,Australia,"Eden Gardens, Kolkata",South Africa,bat,Australia
2023-03-23,Ireland,Bangladesh,Sylhet International Cricket Stadium,Ireland,bat,Bangladesh
2009-09-20,England,Australia,Riverside Ground,England,field,England
2015-02-14,New Zealand,Sri Lanka,Hagley Oval,Sri Lanka,field,New Zealand
2023-09-12,South Africa,Australia,"Sedgars Park, Potchefstroom",Australia,field,South Africa
2017-01-13,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,Australia
2012-08-28,Australia,Pakistan,Sharjah Cricket Stadium,Pakistan,bat,Australia
2018-03-10,West Indies,Ireland,Harare Sports Club,Ireland,field,West Indies
2015-01-18,Australia,India,Melbourne Cricket Ground,India,bat,Australia
2006-04-23,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
2018-05-06,Bangladesh,South Africa,Senwes Park,Bangladesh,bat,South Africa
2022-11-23,Papua New Guinea,Namibia,"Wanderers Cricket Ground, Windhoek",Papua New Guinea,bat,Namibia
2021-07-20,Zimbabwe,Bangladesh,Harare Sports Club,Bangladesh,field,Bangladesh
2006-02-22,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,field,Bangladesh
2015-03-14,Australia,Scotland,Bellerive Oval,Australia,field,Australia
2014-12-19,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,New Zealand
2021-02-26,New Zealand,England,University Oval,New Zealand,bat,England
2021-09-08,Zimbabwe,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,field,Zimbabwe
2016-01-17,Australia,India,Melbourne Cricket Ground,Australia,field,Australia
2022-12-07,Bangladesh,India,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh
2022-06-21,Sri Lanka,Australia,"R Premadasa Stadium, Colombo",Australia,field,Sri Lanka
2012-07-05,West Indies,New Zealand,"Sabina Park, Kingston",West Indies,field,West Indies
2013-06-10,Pakistan,South Africa,Edgbaston,South Africa,bat,South Africa
2019-01-25,South Africa,Pakistan,SuperSport Park,Pakistan,bat,South Africa
2011-10-21,South Africa,England,Senwes Park,South Africa,field,England
2010-10-31,Pakistan,South Africa,Sheikh Zayed Stadium,South Africa,bat,Pakistan
2015-01-23,New Zealand,Sri Lanka,University Oval,Sri Lanka,field,New Zealand
2020-01-08,Oman,Namibia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,bat,Namibia
2011-10-25,South Africa,England,Senwes Park,England,field,England
2013-08-01,Zimbabwe,India,Queens Sports Club,India,field,India
2023-10-16,Sri Lanka,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sri Lanka,bat,Australia
2006-01-17,South Africa,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",South Africa,field,Sri Lanka
2020-01-27,New Zealand,South Africa,Eden Park Outer Oval,New Zealand,bat,South Africa
2014-07-12,Sri Lanka,South Africa,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",South Africa,bat,South Africa
2012-11-06,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,field,Sri Lanka
2015-10-13,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,Ireland
2023-01-11,New Zealand,Pakistan,"National Stadium, Karachi",New Zealand,bat,New Zealand
2004-09-15,West Indies,Bangladesh,The Rose Bowl,Bangladesh,field,West Indies
2003-06-29,South Africa,Zimbabwe,"St Lawrence Ground, Canterbury",Zimbabwe,field,South Africa
2023-09-24,India,Australia,"Holkar Cricket Stadium, Indore",Australia,field,India
2017-06-08,India,Sri Lanka,Kennington Oval,Sri Lanka,field,Sri Lanka
2013-06-13,England,Sri Lanka,Kennington Oval,Sri Lanka,field,Sri Lanka
2003-03-07,Kenya,India,"Newlands, Cape Town",Kenya,bat,India
2010-05-30,India,Sri Lanka,Queens Sports Club,India,field,India
2017-01-18,Bangladesh,South Africa,Sheikh Kamal International Cricket Stadium,South Africa,bat,South Africa
2022-01-18,Zimbabwe,Sri Lanka,Pallekele International Cricket Stadium,Zimbabwe,bat,Zimbabwe
2003-09-21,Pakistan,Bangladesh,"National Stadium, Karachi",Pakistan,bat,Pakistan
2012-01-22,South Africa,Sri Lanka,New Wanderers Stadium,Sri Lanka,field,Sri Lanka
2022-06-10,Pakistan,West Indies,Multan Cricket Stadium,Pakistan,bat,Pakistan
2013-07-01,England,Pakistan,Louth Cricket Club,England,bat,England
2006-05-10,West Indies,Zimbabwe,"Beausejour Stadium, Gros Islet",Zimbabwe,bat,West Indies
2021-07-20,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,India
2021-01-18,Ireland,United Arab Emirates,Sheikh Zayed Stadium,United Arab Emirates,field,Ireland
2023-01-21,New Zealand,India,"Shaheed Veer Narayan Singh International Stadium, Raipur",India,field,India
2009-05-01,Australia,Pakistan,Sheikh Zayed Stadium,Pakistan,bat,Australia
2007-03-23,West Indies,Ireland,"Sabina Park, Kingston",Ireland,bat,West Indies
2020-08-01,Ireland,England,The Rose Bowl,Ireland,bat,England
2011-09-14,Zimbabwe,Pakistan,Harare Sports Club,Zimbabwe,field,Pakistan
2013-08-20,England,Australia,Lord's,Australia,bat,Australia
2005-12-15,Pakistan,England,National Stadium,England,field,Pakistan
2008-11-23,India,England,M Chinnaswamy Stadium,England,field,India
2016-06-24,England,Sri Lanka,Edgbaston,Sri Lanka,bat,England
2022-05-28,United States of America,Scotland,"Choice Moosa Stadium, Pearland",United States of America,bat,United States of America
2003-02-15,India,Australia,"SuperSport Park, Centurion",India,bat,Australia
2021-06-29,Sri Lanka,England,"Riverside Ground, Chester-le-Street",England,field,England
2016-10-22,South Africa,New Zealand,Boland Park,South Africa,field,South Africa
2008-06-26,Pakistan,India,National Stadium,Pakistan,bat,India
2023-09-14,Pakistan,Sri Lanka,"R Premadasa Stadium, Colombo",Pakistan,bat,Sri Lanka
2023-02-25,United Arab Emirates,Namibia,Dubai International Cricket Stadium,Namibia,field,Namibia
2017-11-02,Pakistan,New Zealand,Sharjah Cricket Stadium,Pakistan,bat,New Zealand
2024-04-07,England,New Zealand,"Seddon Park, Hamilton",England,bat,New Zealand
2017-01-22,Hong Kong,Scotland,Sheikh Zayed Stadium,Hong Kong,field,Hong Kong
2010-08-19,Sri Lanka,New Zealand,Rangiri Dambulla International Stadium,New Zealand,field,No Result
2011-03-14,Pakistan,Zimbabwe,Pallekele International Cricket Stadium,Zimbabwe,bat,Pakistan
2012-12-30,India,Pakistan,"MA Chidambaram Stadium, Chepauk",Pakistan,field,Pakistan
2007-01-27,India,West Indies,"MA Chidambaram Stadium, Chepauk",West Indies,field,West Indies
2022-07-13,Scotland,Nepal,"Titwood, Glasgow",Nepal,field,Nepal
2014-11-13,India,Sri Lanka,Eden Gardens,India,bat,India
2021-03-10,West Indies,Sri Lanka,Sir Vivian Richards Stadium,Sri Lanka,bat,West Indies
2017-05-19,South Africa,Ireland,North-West University No1 Ground,South Africa,bat,South Africa
2005-06-18,Australia,Bangladesh,Sophia Gardens,Australia,bat,Bangladesh
2009-09-09,England,Australia,The Rose Bowl,England,bat,Australia
2022-06-12,Pakistan,West Indies,Multan Cricket Stadium,Pakistan,bat,Pakistan
2023-03-06,Bangladesh,England,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,bat,Bangladesh
2023-07-03,Netherlands,Oman,Harare Sports Club,Oman,field,Netherlands
2013-02-22,Sri Lanka,West Indies,Rangiri Dambulla International Stadium,Sri Lanka,bat,West Indies
2014-11-19,Australia,South Africa,Manuka Oval,Australia,bat,Australia
2003-11-29,New Zealand,Pakistan,"Gaddafi Stadium, Lahore",New Zealand,bat,Pakistan
2022-06-08,United States of America,Oman,"Moosa Cricket Stadium, Pearland",Oman,field,United States of America
2016-09-04,England,Pakistan,Sophia Gardens,Pakistan,field,Pakistan
2003-10-07,Pakistan,South Africa,"Iqbal Stadium, Faisalabad",Pakistan,bat,South Africa
2005-11-12,Sri Lanka,India,Reliance Stadium,Sri Lanka,bat,India
2023-02-01,England,South Africa,"Diamond Oval, Kimberley",South Africa,field,England
2020-02-06,Oman,United States of America,Tribhuvan University International Cricket Ground,Oman,field,Oman
2022-11-04,Pakistan,Ireland,"Gaddafi Stadium, Lahore",Pakistan,bat,Pakistan
2023-04-01,Jersey,Papua New Guinea,"United Cricket Club Ground, Windhoek",Jersey,bat,Jersey
2004-12-08,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,Australia
2004-03-24,India,Pakistan,Gaddafi Stadium,Pakistan,field,India
2013-02-22,West Indies,Zimbabwe,"National Cricket Stadium, St George's",Zimbabwe,field,West Indies
2019-06-22,New Zealand,West Indies,Old Trafford,West Indies,field,New Zealand
2020-02-22,Sri Lanka,West Indies,Sinhalese Sports Club Ground,Sri Lanka,field,Sri Lanka
2013-05-17,Scotland,Pakistan,"Grange Cricket Club Ground, Raeburn Place",Pakistan,bat,Pakistan
2014-08-21,Zimbabwe,South Africa,Queens Sports Club,South Africa,field,South Africa
2018-11-11,South Africa,Australia,Bellerive Oval,Australia,field,South Africa
2017-04-07,West Indies,Pakistan,Providence Stadium,West Indies,field,West Indies
2018-03-12,India,Australia,Reliance Stadium,India,bat,Australia
2019-02-17,South Africa,Sri Lanka,Senwes Park,Sri Lanka,bat,South Africa
2022-09-19,West Indies,New Zealand,"Sir Vivian Richards Stadium, North Sound, Antigua",New Zealand,field,New Zealand
2013-02-23,New Zealand,England,Eden Park,England,field,England
2011-06-08,West Indies,India,"Queen's Park Oval, Port of Spain",India,field,India
2023-07-25,Australia,Ireland,"Castle Avenue, Dublin",Ireland,field,Australia
2014-01-23,Scotland,Canada,Hagley Oval,Canada,field,Scotland
2022-06-11,Nepal,United States of America,"Moosa Cricket Stadium, Pearland",Nepal,bat,No Result
2008-04-19,Pakistan,Bangladesh,National Stadium,Pakistan,bat,Pakistan
2019-02-25,India,England,Wankhede Stadium,England,bat,India
2009-01-18,Australia,South Africa,Bellerive Oval,South Africa,field,Australia
2005-10-30,New Zealand,South Africa,St George's Park,South Africa,field,South Africa
2014-01-31,New Zealand,India,Westpac Stadium,India,field,New Zealand
2015-07-06,India,New Zealand,M Chinnaswamy Stadium,New Zealand,bat,India
2009-01-07,New Zealand,West Indies,Westpac Stadium,New Zealand,field,New Zealand
2024-03-05,Canada,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,Canada
2019-06-03,England,Pakistan,Trent Bridge,England,field,Pakistan
2006-03-31,India,England,Nahar Singh Stadium,England,bat,India
2018-08-12,Sri Lanka,South Africa,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,Sri Lanka
2013-06-14,South Africa,West Indies,Sophia Gardens,West Indies,field,No Result
2015-03-06,India,West Indies,Western Australia Cricket Association Ground,West Indies,bat,India
2004-02-01,South Africa,West Indies,SuperSport Park,South Africa,bat,West Indies
2022-05-31,Netherlands,West Indies,"VRA Ground, Amstelveen",West Indies,field,West Indies
2014-08-22,West Indies,Bangladesh,"National Cricket Stadium, St George's",Bangladesh,field,West Indies
2019-09-05,Australia,West Indies,"Coolidge Cricket Ground, Antigua",West Indies,field,Australia
2013-10-16,India,Australia,Sawai Mansingh Stadium,Australia,bat,India
2011-01-29,New Zealand,Pakistan,AMI Stadium,New Zealand,field,Pakistan
2021-09-21,England,New Zealand,"Grace Road, Leicester",New Zealand,field,New Zealand
2011-07-03,England,Sri Lanka,Lord's,England,bat,Sri Lanka
2011-11-14,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,bat,Sri Lanka
2003-08-03,Bangladesh,Australia,"Bundaberg Rum Stadium, Cairns",Bangladesh,bat,Australia
2014-01-26,Australia,England,Bellerive Oval,England,bat,Australia
2023-12-21,India,South Africa,"Boland Park, Paarl",South Africa,field,India
2004-02-08,Australia,India,Sydney Cricket Ground,Australia,bat,Australia
2011-11-29,India,West Indies,Barabati Stadium,India,field,India
2008-07-02,Pakistan,India,National Stadium,India,bat,Pakistan
2014-09-04,Zimbabwe,South Africa,Harare Sports Club,Zimbabwe,field,South Africa
2013-01-11,India,England,Saurashtra Cricket Association Stadium,England,bat,England
2022-11-06,Ireland,Pakistan,"Gaddafi Stadium, Lahore",Ireland,bat,Pakistan
2015-03-24,New Zealand,South Africa,Eden Park,South Africa,bat,New Zealand
2020-01-05,Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman
2003-02-11,Canada,Bangladesh,"Kingsmead, Durban",Canada,bat,Canada
2022-08-13,United States of America,Scotland,"Mannofield Park, Aberdeen",Scotland,field,Scotland
2022-03-18,West Indies,Bangladesh,"Bay Oval, Mount Maunganui",Bangladesh,field,West Indies
2009-08-09,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan
2003-11-23,West Indies,Zimbabwe,"Queens Sports Club, Bulawayo",West Indies,bat,Zimbabwe
2006-05-14,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",West Indies,bat,West Indies
2024-01-08,Zimbabwe,Sri Lanka,"R Premadasa Stadium, Colombo",Zimbabwe,bat,Sri Lanka
2021-11-26,South Africa,Netherlands,"SuperSport Park, Centurion",Netherlands,field,No Result
2013-07-07,Netherlands,Ireland,VRA Ground,Ireland,bat,Ireland
2021-06-30,India,England,"The Cooper Associates County Ground, Taunton",England,field,England
2004-10-03,Zimbabwe,Pakistan,Arbab Niaz Stadium,Pakistan,field,Pakistan
2021-09-28,Scotland,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Scotland,bat,Scotland
2017-06-06,England,New Zealand,Sophia Gardens,New Zealand,field,England
2023-11-11,Bangladesh,Australia,"Maharashtra Cricket Association Stadium, Pune",Australia,field,Australia
2004-01-03,Pakistan,New Zealand,Eden Park,New Zealand,field,New Zealand
2011-05-02,West Indies,Pakistan,"Kensington Oval, Bridgetown",West Indies,field,West Indies
2018-03-15,Australia,India,Reliance Stadium,India,field,Australia
2006-05-28,West Indies,India,"Queen's Park Oval, Port of Spain",India,field,West Indies
2009-01-23,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,Bangladesh
2021-07-04,Sri Lanka,England,"County Ground, Bristol",England,field,No Result
2024-07-24,Namibia,Oman,"Forthill, Dundee",Oman,field,Oman
2012-03-23,West Indies,Australia,"Beausejour Stadium, Gros Islet",Australia,field,West Indies
2009-08-07,Sri Lanka,Pakistan,R Premadasa Stadium,Pakistan,bat,Pakistan
2024-05-26,Pakistan,England,"The Cooper Associates County Ground, Taunton",Pakistan,bat,No Result
2013-11-08,Pakistan,South Africa,Sheikh Zayed Stadium,South Africa,bat,South Africa
2007-09-05,England,India,Kennington Oval,England,bat,India
2012-03-06,Australia,Sri Lanka,Adelaide Oval,Australia,bat,Sri Lanka
2007-08-27,England,India,Edgbaston,India,field,England
2015-02-28,New Zealand,Australia,Eden Park,Australia,bat,New Zealand
2012-07-11,West Indies,New Zealand,"Warner Park, Basseterre",West Indies,field,New Zealand
2024-09-18,United Arab Emirates,United States of America,"United Cricket Club Ground, Windhoek",United States of America,field,United States of America
2013-11-01,Pakistan,South Africa,Dubai International Cricket Stadium,Pakistan,bat,Pakistan
2015-03-17,Pakistan,South Africa,Sharjah Cricket Stadium,Pakistan,bat,South Africa
2018-03-22,Pakistan,Sri Lanka,Rangiri Dambulla International Stadium,Pakistan,bat,Pakistan
2018-06-24,Australia,England,Old Trafford,Australia,bat,England
2018-10-06,Zimbabwe,South Africa,Boland Park,Zimbabwe,bat,South Africa
2019-08-21,Oman,Papua New Guinea,Mannofield Park,Oman,field,Oman
2006-10-27,Pakistan,South Africa,"Punjab Cricket Association Stadium, Mohali",South Africa,bat,South Africa
2010-12-01,Bangladesh,Zimbabwe,Shere Bangla National Stadium,Bangladesh,field,Zimbabwe
2015-02-14,Australia,England,Melbourne Cricket Ground,England,field,Australia
2013-01-20,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,No Result
2011-01-26,Australia,England,Adelaide Oval,England,bat,England
2022-12-11,Bangladesh,New Zealand,"Basin Reserve, Wellington",Bangladesh,bat,New Zealand
2011-07-01,England,Sri Lanka,Headingley,England,field,Sri Lanka
2023-10-12,South Africa,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Australia,field,South Africa
2010-06-09,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,Sri Lanka
2023-03-30,United Arab Emirates,United States of America,"United Cricket Club Ground, Windhoek",United Arab Emirates,bat,United States of America
2015-03-07,Pakistan,South Africa,Eden Park,South Africa,field,Pakistan
2010-02-14,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,field,Australia
2023-02-18,Namibia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal
2019-06-13,England,West Indies,County Ground,West Indies,field,England
2007-04-02,Bangladesh,New Zealand,"Sir Vivian Richards Stadium, North Sound",New Zealand,field,New Zealand
2009-04-08,Canada,Scotland,Willowmoore Park,Scotland,field,Canada
2013-09-03,Ireland,England,"The Village, Malahide",England,field,England
2004-05-02,England,West Indies,Daren Sammy National Cricket Stadium,West Indies,field,West Indies
2008-08-12,Scotland,Kenya,Cambusdoon New Ground,Scotland,field,No Result
2022-07-16,Namibia,Nepal,"Cambusdoon New Ground, Ayr",Namibia,bat,Namibia
2017-07-09,Sri Lanka,West Indies,County Ground,Sri Lanka,field,West Indies
2008-02-10,Australia,India,Melbourne Cricket Ground,Australia,bat,India
2013-11-24,South Africa,Pakistan,Newlands,Pakistan,bat,Pakistan
2014-08-29,Zimbabwe,South Africa,Harare Sports Club,Zimbabwe,field,South Africa
2013-03-21,South Africa,Pakistan,Kingsmead,South Africa,bat,Pakistan
2014-12-14,New Zealand,Pakistan,Sharjah Cricket Stadium,Pakistan,bat,Pakistan
2017-02-10,South Africa,Sri Lanka,SuperSport Park,Sri Lanka,field,South Africa
2018-08-30,United Arab Emirates,Nepal,Kinrara Academy Oval,Nepal,field,United Arab Emirates
2023-01-10,India,Sri Lanka,"Barsapara Cricket Stadium, Guwahati",Sri Lanka,field,India
2022-02-24,New Zealand,India,"John Davies Oval, Queenstown",New Zealand,bat,India
2014-02-22,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,Sri Lanka
2022-03-19,United Arab Emirates,Papua New Guinea,Dubai International Cricket Stadium,United Arab Emirates,bat,Papua New Guinea
2007-04-04,England,Sri Lanka,"Sir Vivian Richards Stadium, North Sound",England,field,Sri Lanka
2018-10-13,England,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,England
